0;Mrs. Amy Wang;2014-04-08;25;14
1;Donna Rodriguez;1989-11-10;154;12
2;Nathan Bruce;1984-12-26;190;2
3;Bradley Peters;2012-09-10;743;17
4;John Flores Jr.;1999-12-17;319;8
5;Heather Collins;2010-05-15;476;29
6;Diana Short;1976-11-28;569;17
7;Michael Patrick;1977-06-06;103;20
8;Kyle Bell;1992-01-17;131;0
9;Samantha Freeman;1977-05-28;903;22
10;Lisa Sharp;1988-02-01;395;7
11;Kevin Campbell;2003-11-22;683;11
12;Paul Williams;1987-09-22;771;9
13;Keith Singh;2015-08-26;684;10
14;Antonio Ferguson;1998-07-03;205;3
15;Robert Bennett;1991-08-14;601;30
16;Tiffany Fisher;1983-02-14;710;29
17;Kimberly Fox;1976-02-19;335;25
18;Evelyn Khan;2018-11-05;222;24
19;Heather Fry;1997-05-24;343;9
20;Michael Jordan;2004-04-28;120;25
21;Heidi Compton;1978-02-17;286;28
22;Jennifer Gonzalez;2022-02-18;989;12
23;Craig Baker;1994-11-20;244;17
24;Robert Gregory Jr.;2011-10-22;816;1
25;Kristy Alexander;1977-12-10;637;5
26;Michael Rasmussen;1991-08-05;270;3
27;Amber Yu;1975-07-24;883;10
28;Veronica Murphy;2018-01-10;148;27
29;Hannah Lopez;2008-10-28;914;17
30;Kelli Castro;1971-02-18;572;21
