0;Christopher Mathews;example;Michael Freeman
1;Taylor Smith;recently;Mark Combs
2;Dr. Sabrina Moore MD;meet;James Diaz
3;Aaron Simpson;value;Mary Espinoza
4;Gary Kim;as;James Griffith
5;Debbie Collier;high;Emily Peterson
6;Walter Williams;response;Kenneth Harris
7;Joseph Jackson;increase;Joshua Davis
8;Monica Clark;ten;Teresa Wagner
9;Maurice Adams;person;Karen Hernandez
10;Victor Henderson;while;Timothy Jacobson
11;Micheal Richardson;drug;Tanya Dean
12;Jesse Davis;ago;Cindy Buchanan
13;Margaret Meyer;month;Nicole Woodard
14;Kimberly Skinner;beautiful;Tonya Thomas
15;Andrea Mccall;before;Jessica Ashley
16;Shelly Giles;day;Julie Parrish
17;Michael Holloway;Congress;William Lewis
18;Shannon Ward;though;Frank Henson
19;Mary Keith;camera;Angela Gilmore
20;Jacqueline Smith;land;Kristy Steele
21;Travis West;air;Jeremiah Powell
22;Shelly Brown;level;Alexander Farmer
23;Zachary Gomez;training;Brandon Gill
24;Shannon Stout;lay;Dr. Jessica Garcia
25;Bryan Bennett;fly;Elizabeth Franklin
26;Michelle Stein;baby;Karen Baker
27;David Douglas;issue;Andrew Hill
28;Brandon Nguyen;look;Linda Smith
29;Kimberly Collins;put;Brooke Mendoza
30;Donald Kemp;will;Michelle Reynolds
